ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
FACULDADE DE OLÍMPIA;1619;Faculdade ;SP;Olímpia;50;0
FACULDADE DE IPORA;2796;Faculdade ;GO;Iporá;50;0
FACULDADE UNINASSAU PARNAÍBA;1552;Faculdade ;PI;Parnaíba;120;4
FACULDADE PIAGET;14715;Faculdade ;SP;Suzano;60;0
FACULDADE EVOLUÇAO ALTO OESTE POTIGUAR;11841;Faculdade ;RN;Pau dos Ferros;80;0
FACULDADE DO SUL;2944;Faculdade ;BA;Itabuna;100;11
FACULDADE EMPRESARIAL DE CHAPECÓ;2766;Faculdade ;SC;Chapecó;100;1
CENTRO UNIVERSITARIO FUNDAÇAO DE ENSINO OCTAVIO BASTOS - FEOB;1836;Centro Universitário;SP;São João da Boa Vista;60;1
FACULDADE CENTRAL DE CRISTALINA;1696;Faculdade ;GO;Cristalina;45;0
FACULDADE LUCIANO FEIJAO;3862;Faculdade ;CE;Sobral;195;4
FACULDADE DE APUCARANA;1325;Faculdade ;PR;Apucarana;40;1
FACULDADE DE ENSINO SUPERIOR SANTA BARBARA;3940;Faculdade ;SP;Tatuí;70;0
FACULDADE DO VALE DO ITAJAÍ MIRIM;2755;Faculdade ;SC;Brusque;80;0
CENTRO UNIVERSITARIO CLARETIANO;135;Centro Universitário;SP;Batatais;120;2
FACULDADES INTEGRADAS DO CEARA - UniFIC;19173;Faculdade ;CE;Iguatu;100;2
CENTRO UNIVERSITARIO DA VITÓRIA DE SANTO ANTAO;3515;Centro Universitário;PE;Vitória de Santo Antão;240;0
FACULDADE UNIAO DE CAMPO MOURAO;12766;Faculdade ;PR;Campo Mourão;80;0
Faculdade REGES de Realeza;1800;Faculdade ;PR;Realeza;200;0
Centro Universitário União das Américas;1716;Centro Universitário;PR;Foz do Iguaçu;90;0
CENTRO UNIVERSITARIO DE BARRA MANSA;514;Centro Universitário;RJ;Barra Mansa;65;0
FACULDADE GUARAÍ;3363;Faculdade ;TO;Guaraí;50;0
CENTRO UNIVERSITARIO DA GRANDE DOURADOS;673;Centro Universitário;MS;Dourados;320;4
UNIVERSIDADE JOSÉ DO ROSARIO VELLANO;30;Universidade;MG;Alfenas;80;0
FACULDADE ANHANGUERA DE SUMARÉ;11308;Faculdade ;SP;Sumaré;50;1
Faculdade do Maciço do Baturité;17628;Faculdade ;CE;Baturité;100;0
Centro Universitário IDEAU;3339;Centro Universitário;RS;Getúlio Vargas;100;0
Faculdade de Ciências Educacionais de Capim Grosso;2753;Faculdade ;BA;Capim Grosso;100;0
FACULDADE UNIBRAS DO NORTE GOIANO;4586;Faculdade ;GO;Porangatu;50;0
CENTRO UNIVERSITARIO DAS FACULDADES INTEGRADAS DE OURINHOS;265;Centro Universitário;SP;Ourinhos;50;2
Centro Universitário Governador Ozanam Coelho;1362;Centro Universitário;MG;Ubá;80;9
Faculdade do Centro Maranhense;19287;Faculdade ;MA;Barra do Corda;100;0
FACULDADE ANHANGUERA DE JUNDIAA;1412;Faculdade ;SP;Jundiaí;60;0
Faculdade Multivix de Cachoeiro;1970;Faculdade ;ES;Cachoeiro de Itapemirim;150;1
CENTRO UNIVERSITARIO NOSSA SENHORA DO PATROCÍNIO;1149;Centro Universitário;SP;Salto;80;0
Centro Universitário Campo Limpo Paulista;1273;Centro Universitário;SP;Campo Limpo Paulista;50;0
Centro Universitário Católica do Leste de Minas Gerais ;878;Centro Universitário;MG;Coronel Fabriciano;120;0
Centro Universitário da Região da Campanha;296;Centro Universitário;RS;Bagé;40;0
FACULDADE PRESIDENTE ANTÔNIO CARLOS;5544;Faculdade ;TO;Porto Nacional;120;2
CENTRO UNIVERSITARIO AMPARENSE;1225;Centro Universitário;SP;Amparo;100;0
Faculdade Mais de Ituiutaba ;507;Faculdade ;MG;Ituiutaba;80;0
FACULDADES INTEGRADAS DE BAURU;1092;Faculdade ;SP;Bauru;120;0
